epoch,model,loss,params
1,scalar,2.1973891258239746,136201
1,matrix_n=4,2.1944308280944824,22025
25,scalar,2.1973717212677,136201
25,matrix_n=4,2.1912052631378174,22025
50,scalar,2.197397470474243,136201
50,matrix_n=4,2.187150716781616,22025
