Architecture,Model,Size_n,BatchSize,Params,FLOPs,Train_Time_Per_Batch,Final_Loss
LSTM,MATNETS,4,32,512,355118.0,0.0015823841094970703,0.6972184181213379
LSTM,Scalar,-,32,559,122560.0,0.0017375946044921875,0.7418177127838135
LSTM,MATNETS,8,8,2048,670070.0,0.001550912857055664,0.6940425038337708
LSTM,Scalar,-,8,2129,135706.0,0.0019524097442626953,0.7063727378845215
LSTM,MATNETS,8,16,2048,1311966.0,0.0015215873718261719,0.6956609487533569
LSTM,Scalar,-,16,2129,241674.0,0.0018045902252197266,0.7082666158676147
LSTM,MATNETS,8,32,2048,2595758.0,0.001539468765258789,0.6937992572784424
LSTM,Scalar,-,32,2129,453610.0,0.0017936229705810547,0.6761919856071472
ATTENTION,Scalar,-,8,167,175708.0,0.0016753673553466797,0.7462064027786255
ATTENTION,MATNETS,2,16,0,87172.0,0.0005769729614257812,0.661278247833252
ATTENTION,Scalar,-,16,167,349260.0,0.0017523765563964844,0.6811890602111816
ATTENTION,Scalar,-,32,167,696364.0,0.0017800331115722656,0.6828151941299438
ATTENTION,Scalar,-,8,167,175708.0,0.0019905567169189453,0.7245511412620544
ATTENTION,MATNETS,4,16,0,286852.0,0.0006344318389892578,0.6891878843307495
ATTENTION,Scalar,-,16,167,349260.0,0.0016295909881591797,0.7144980430603027
ATTENTION,Scalar,-,32,167,696364.0,0.0017654895782470703,0.7080059051513672
ATTENTION,Scalar,-,8,167,175708.0,0.0016794204711914062,0.6894168853759766
ATTENTION,MATNETS,8,16,0,1085572.0,0.0004892349243164062,0.6940739154815674
ATTENTION,Scalar,-,16,167,349260.0,0.0016984939575195312,0.6640723347663879
ATTENTION,Scalar,-,32,167,696364.0,0.0016779899597167969,0.7377418279647827
